,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
69,8,33,1,1,59,0,45,4,7,15,addicted
70,4,30,3,2,54,0,43,9,7,23,addicted
71,5,21,0,1,48,0,51,7,2,21,not addicted
72,3,23,1,0,59,0,33,8,2,23,not addicted
73,8,30,1,1,63,0,44,4,5,37,addicted
74,6,40,2,1,60,2,28,6,4,22,addicted
75,6,43,2,2,66,2,28,5,6,30,addicted
76,4,37,1,0,65,1,23,5,6,24,addicted
77,5,47,1,0,77,0,40,7,5,33,addicted
78,4,22,1,1,50,1,48,6,4,28,not addicted
79,7,41,3,2,77,0,21,3,3,25,addicted
80,4,26,3,0,39,1,45,7,1,29,not addicted
81,6,45,2,3,58,0,19,9,2,23,addicted
82,4,22,0,0,51,0,44,7,2,25,not addicted
83,4,17,1,0,43,1,31,5,5,11,not addicted
84,6,41,1,3,59,1,23,8,5,33,addicted
85,4,30,1,1,57,2,34,11,2,28,not addicted
86,2,40,1,4,76,1,38,6,4,28,addicted
87,5,34,3,2,68,0,35,9,4,30,addicted
88,6,31,3,3,63,1,18,6,7,29,addicted
89,3,24,2,0,41,0,31,9,3,20,not addicted
90,3,38,0,3,88,0,35,6,6,35,addicted
91,7,37,3,1,63,1,43,7,3,22,addicted
92,5,23,1,0,50,1,38,5,4,18,not addicted
93,6,30,1,1,79,3,28,6,7,33,addicted
94,7,40,2,1,68,1,20,6,7,35,addicted
95,3,24,0,0,54,0,48,9,0,26,not addicted
96,5,27,3,1,50,0,49,4,1,24,not addicted
97,2,37,3,2,90,2,38,6,6,39,addicted
98,1,19,2,1,63,0,27,8,2,31,not addicted
99,1,28,2,1,40,1,20,6,2,36,not addicted
100,9,41,2,1,83,0,31,7,4,32,addicted
101,2,27,0,1,55,0,35,6,2,27,not addicted
102,6,24,1,3,74,0,43,7,5,36,addicted
103,6,37,1,1,67,2,19,5,6,25,addicted
104,8,31,3,0,66,0,39,3,4,21,addicted
105,6,32,3,2,64,2,23,4,3,32,addicted
106,2,32,1,1,65,2,38,6,8,31,addicted
107,4,46,1,2,81,2,35,7,8,21,addicted
108,4,50,0,1,70,2,28,4,5,28,addicted
109,4,18,0,1,38,1,50,5,6,32,not addicted
110,1,26,2,0,41,1,27,6,4,27,not addicted
111,3,27,1,3,47,0,54,8,6,25,not addicted
112,4,25,2,1,41,0,20,8,3,37,not addicted
113,1,22,0,0,41,1,37,9,1,23,not addicted
114,5,28,3,3,77,1,15,6,5,29,addicted
115,6,36,2,1,61,4,27,6,3,35,addicted
116,1,24,1,1,42,2,48,5,3,28,not addicted
117,4,37,3,3,77,1,36,6,7,25,addicted
118,1,24,0,0,60,0,54,3,6,21,not addicted
119,6,25,1,0,56,2,20,7,3,27,not addicted
120,4,42,0,4,69,3,33,7,7,24,addicted
121,5,42,2,2,62,0,35,6,8,31,addicted
122,3,25,0,2,56,0,35,6,2,25,not addicted
123,3,30,2,1,67,1,17,7,7,31,addicted
124,4,38,1,0,75,2,40,7,5,29,addicted
125,3,29,1,0,57,0,52,9,0,27,not addicted
126,4,31,0,2,43,1,21,5,1,34,not addicted
127,3,20,0,1,50,0,20,9,0,22,not addicted
128,4,37,2,0,45,0,47,4,0,28,not addicted
129,0,32,2,2,48,0,34,7,1,28,not addicted
130,5,23,2,2,74,0,38,4,8,32,addicted
131,1,24,2,2,47,2,53,9,6,21,not addicted
132,5,33,3,3,53,3,42,6,5,35,addicted
133,3,32,2,1,53,1,22,7,0,16,not addicted
134,4,26,6,1,63,1,38,7,7,32,addicted
135,2,26,0,1,52,2,27,7,5,22,not addicted
136,5,38,4,2,59,3,39,5,8,34,addicted
137,5,23,1,0,53,1,31,5,3,24,not addicted
138,3,32,2,2,73,2,19,6,5,31,addicted
139,5,26,3,0,55,1,29,6,7,37,addicted
140,3,22,0,0,40,0,32,6,5,33,not addicted
141,3,41,3,3,73,1,38,9,8,21,addicted
142,0,26,1,2,59,0,41,6,0,22,not addicted
143,3,25,1,0,40,1,37,9,2,32,not addicted
144,2,33,0,0,42,1,39,10,4,27,not addicted
145,6,26,5,0,89,1,38,9,8,21,addicted
146,2,33,1,0,49,0,34,3,0,26,not addicted
147,5,42,0,0,62,2,31,7,7,27,addicted
148,3,33,2,3,60,0,31,4,1,14,not addicted
149,5,21,1,1,38,1,31,8,2,22,not addicted
150,7,33,3,2,81,2,41,6,6,29,addicted
151,6,28,0,0,49,1,44,8,6,30,not addicted
152,2,28,2,2,48,0,23,11,0,24,not addicted
153,3,34,3,0,88,0,17,6,5,28,addicted
154,5,28,0,2,41,0,43,8,3,17,not addicted
155,3,23,0,1,61,0,42,7,4,25,not addicted
156,3,19,0,1,51,1,42,3,5,20,not addicted
157,4,38,3,3,61,1,44,8,3,33,addicted
158,8,29,3,1,71,1,40,7,6,29,addicted
159,5,40,1,3,60,1,20,6,5,30,addicted
160,4,35,4,1,79,2,18,5,4,19,addicted
161,4,25,2,1,53,0,40,6,4,31,not addicted
162,7,32,2,1,75,1,37,4,6,28,addicted
163,4,26,2,0,59,0,21,3,1,28,not addicted
164,2,24,0,0,45,0,32,3,0,29,not addicted
165,6,25,2,0,36,1,43,5,5,25,not addicted
166,2,23,1,0,48,1,48,6,2,24,not addicted
167,4,38,2,2,64,2,29,4,5,29,addicted
168,5,26,3,3,80,1,28,6,7,24,addicted
169,2,36,1,0,56,1,47,6,0,25,not addicted
170,2,33,0,1,73,2,37,9,8,40,addicted
171,4,23,1,0,45,0,29,7,5,21,not addicted
172,4,33,0,0,68,0,43,8,6,27,addicted
173,3,56,2,0,64,2,40,4,6,32,addicted
174,6,40,0,0,65,0,22,7,7,34,addicted
175,6,31,4,3,71,2,20,3,4,38,addicted
176,0,30,1,2,45,0,43,7,5,28,not addicted
177,6,34,0,1,56,0,37,7,5,26,not addicted
178,5,34,2,0,67,2,23,6,6,30,addicted
179,3,16,1,2,55,2,49,6,0,25,not addicted
180,7,35,3,0,66,2,22,4,5,32,addicted
181,4,37,0,2,52,0,36,7,1,25,not addicted
182,2,33,1,0,32,1,36,7,0,36,not addicted
183,2,26,3,0,40,0,42,5,1,33,not addicted
184,1,21,1,0,46,1,43,9,1,31,not addicted
185,4,33,5,3,54,2,21,7,8,38,addicted
186,7,42,4,0,75,0,29,5,7,27,addicted
187,3,33,1,2,71,3,23,2,3,42,addicted
188,4,27,1,3,54,0,36,10,2,30,not addicted
189,6,40,3,1,62,1,26,7,7,42,addicted
190,4,23,0,0,52,0,23,7,5,15,not addicted
191,6,25,1,1,54,1,27,5,6,27,not addicted
192,5,31,1,3,66,1,28,4,4,27,addicted
193,5,28,1,1,54,0,48,8,3,21,not addicted
194,4,26,3,1,61,2,32,5,6,32,addicted
195,1,21,1,0,52,0,38,6,2,17,not addicted
196,5,28,0,1,52,0,20,6,5,35,not addicted
197,2,37,3,0,67,2,25,7,6,35,addicted
198,4,34,3,3,74,1,24,4,4,36,addicted
199,5,28,4,1,73,2,34,7,7,40,addicted
200,5,31,0,1,79,1,43,7,3,28,addicted
201,3,28,3,0,64,0,30,8,1,25,not addicted
202,6,45,1,3,87,1,18,7,4,35,addicted
203,5,30,0,2,66,1,37,8,6,26,addicted
204,3,32,1,2,67,0,44,9,7,29,addicted
205,1,39,2,4,60,1,23,5,6,32,addicted
206,2,23,3,1,92,0,44,8,3,32,addicted
207,3,30,0,0,51,1,48,7,6,18,not addicted
208,3,28,1,0,54,1,48,9,3,31,not addicted
209,4,25,2,1,50,0,38,9,2,25,not addicted
210,3,29,2,1,54,2,22,6,5,28,addicted
211,3,28,2,1,50,1,33,9,0,27,not addicted
212,6,41,3,2,73,1,21,3,9,34,addicted
213,6,36,1,0,75,0,27,6,6,35,addicted
214,5,33,2,1,63,3,28,8,7,28,addicted
215,6,34,3,2,80,1,15,7,6,25,addicted
216,6,32,0,1,63,1,20,7,7,25,addicted
217,2,32,1,0,38,2,51,6,6,31,not addicted
218,3,24,2,1,55,0,44,6,2,34,not addicted
219,1,27,1,1,59,0,51,8,1,32,not addicted
220,6,29,2,2,74,2,32,7,3,24,addicted
221,6,37,2,0,68,3,41,7,8,38,addicted
222,4,26,0,0,38,0,34,8,4,24,not addicted
223,6,34,1,1,87,1,27,5,4,26,addicted
224,7,27,0,1,74,2,38,6,3,28,addicted
225,3,29,3,0,81,1,37,3,5,31,addicted
226,5,22,1,1,54,1,53,10,1,28,not addicted
227,3,20,1,1,49,2,25,8,0,31,not addicted
228,3,24,2,2,49,2,23,6,5,26,not addicted
229,6,41,3,0,72,1,20,7,8,26,addicted
230,4,30,0,1,81,1,35,7,4,35,addicted
231,4,21,0,1,46,0,32,7,6,28,not addicted
232,8,32,0,1,70,0,24,7,7,19,addicted
233,3,29,2,0,54,2,52,7,1,28,not addicted
234,3,22,2,0,45,0,42,8,3,25,not addicted
235,5,32,1,2,76,1,41,6,7,26,addicted
236,4,47,2,1,64,1,37,4,4,25,addicted
237,1,38,3,3,82,0,16,9,4,28,addicted
238,7,34,2,1,42,1,34,7,0,23,not addicted
239,6,23,1,1,58,1,28,7,0,35,not addicted
240,2,26,2,2,51,2,45,8,3,21,not addicted
241,5,35,2,3,63,2,37,3,4,30,addicted
242,2,42,1,1,61,2,28,6,3,27,addicted
243,8,38,2,2,69,2,31,6,2,34,addicted
244,5,41,0,2,63,3,40,6,8,29,addicted
245,5,26,4,0,74,0,41,5,6,39,addicted
246,1,36,2,3,73,2,24,6,7,30,addicted
247,3,32,0,0,56,1,51,5,1,21,not addicted
248,5,40,3,0,63,2,36,5,4,29,addicted
249,5,25,0,1,46,0,42,2,5,29,not addicted
250,7,44,1,0,72,1,16,7,8,49,addicted
251,4,31,2,0,77,2,42,4,8,30,addicted
252,5,30,1,2,52,0,44,6,2,25,addicted
253,1,17,1,0,46,1,48,3,1,25,not addicted
254,4,42,1,2,64,1,36,6,8,33,addicted
255,5,31,3,2,78,0,19,6,7,32,addicted
256,2,38,3,1,69,3,35,9,2,30,addicted
257,2,35,1,1,55,0,26,5,1,25,not addicted
258,4,22,1,2,54,2,49,3,4,24,not addicted
259,2,27,1,0,57,0,44,9,0,34,not addicted
260,5,35,2,2,70,3,38,5,7,31,addicted
261,7,32,1,0,75,3,19,5,3,27,addicted
262,4,31,2,4,65,3,28,4,7,23,addicted
263,0,31,2,0,60,1,35,6,3,32,addicted
264,2,20,0,0,49,0,20,10,5,26,not addicted
265,2,28,2,1,54,0,46,10,5,29,not addicted
266,2,27,0,0,69,0,45,4,0,17,not addicted
267,2,15,1,0,50,1,47,3,0,29,not addicted
268,3,29,1,1,48,0,30,8,4,18,not addicted
269,0,24,0,0,42,0,49,6,3,23,not addicted
270,7,34,3,0,76,0,32,5,7,27,addicted
271,2,28,5,2,81,2,32,4,5,20,addicted
272,4,42,3,1,74,1,29,5,7,25,addicted
273,7,38,1,2,86,1,22,3,8,30,addicted
274,5,35,3,0,59,2,34,5,5,28,addicted
275,3,31,1,0,45,0,40,8,6,21,not addicted
276,1,27,1,1,50,1,34,8,4,24,not addicted
277,1,32,2,0,51,0,26,6,7,29,not addicted
278,9,42,2,0,60,1,28,7,3,18,addicted
279,2,36,2,3,76,0,39,4,6,24,addicted
280,3,31,2,2,74,0,21,5,8,34,addicted
281,2,24,1,0,45,2,39,4,3,15,not addicted
282,3,37,4,2,73,1,27,3,6,33,addicted
283,1,26,1,0,51,1,26,6,1,22,not addicted
284,4,27,2,0,49,1,22,3,5,17,not addicted
285,4,47,2,1,73,3,44,2,3,25,addicted
286,5,32,1,3,64,3,24,4,7,35,addicted
287,1,26,2,0,37,1,37,4,5,27,not addicted
288,6,45,3,5,74,0,27,5,6,18,addicted
289,2,19,1,1,47,1,42,4,6,34,not addicted
290,2,14,0,0,53,1,21,6,5,22,not addicted
291,0,32,3,1,83,2,37,5,8,28,addicted
292,4,30,2,0,51,2,26,8,0,32,not addicted
293,4,37,5,0,70,2,19,5,7,26,addicted
294,5,38,1,3,74,3,22,4,8,22,addicted
295,6,31,2,0,50,0,52,6,2,27,not addicted
296,9,46,3,1,74,1,32,7,5,33,addicted
297,7,40,4,1,68,2,36,1,7,14,addicted
298,3,27,1,1,55,0,36,6,2,23,not addicted
299,6,46,1,2,81,1,24,11,2,21,addicted
300,5,27,4,0,85,1,37,4,5,28,addicted
301,3,31,3,0,64,2,31,4,7,33,addicted
302,3,29,1,2,60,2,41,8,7,24,not addicted
303,4,35,0,2,48,0,48,4,5,30,not addicted
304,0,22,0,0,53,1,52,7,4,19,not addicted
305,4,30,2,2,43,1,23,5,5,26,not addicted
306,2,24,1,0,54,3,25,6,0,24,not addicted
307,4,31,1,1,59,0,48,11,1,29,not addicted
308,6,16,1,1,46,0,54,8,3,17,not addicted
309,6,27,1,2,51,0,21,7,6,17,not addicted
310,2,16,0,0,47,0,42,6,0,21,not addicted
311,3,36,3,1,62,1,38,6,5,31,addicted
312,6,27,0,4,72,1,28,5,7,37,addicted
313,1,34,2,3,71,0,16,7,6,35,addicted
314,4,26,1,0,55,0,44,10,2,26,not addicted
315,3,37,2,3,63,1,16,8,6,30,addicted
316,3,44,0,0,69,2,42,3,3,33,addicted
317,4,39,2,2,74,0,26,4,7,30,addicted
318,3,41,1,0,80,1,42,8,4,23,addicted
319,0,18,1,1,55,1,54,7,6,36,not addicted
320,7,26,1,1,53,4,16,8,7,32,addicted
321,3,40,2,0,73,4,25,4,6,29,addicted
322,6,32,1,2,77,1,44,2,8,27,addicted
323,5,39,5,3,63,1,40,5,6,36,addicted
324,4,23,0,1,47,1,26,9,1,17,not addicted
325,4,34,0,2,66,1,33,4,3,37,addicted
326,6,39,2,1,61,1,17,5,3,31,addicted
327,3,31,2,2,70,3,17,3,6,29,addicted
328,5,40,1,2,84,3,35,7,7,33,addicted
329,3,27,3,0,69,2,27,5,5,24,addicted
330,5,33,3,0,68,0,41,6,8,24,addicted
331,3,28,2,1,46,2,34,5,4,23,not addicted
332,7,41,3,1,89,3,37,7,6,32,addicted
333,1,22,1,1,46,0,45,9,0,23,not addicted
334,3,35,5,2,70,2,42,7,7,37,addicted
335,1,31,3,2,69,2,36,6,7,27,addicted
336,4,22,1,1,56,0,26,9,6,20,not addicted
337,4,30,2,3,72,2,24,5,6,36,addicted
338,8,30,4,1,70,0,30,7,5,31,addicted
339,3,19,0,0,34,1,40,1,3,19,not addicted
340,7,44,0,1,69,2,32,6,9,32,addicted
341,4,26,0,1,66,1,44,7,5,24,addicted
342,4,26,2,1,43,0,29,7,2,31,not addicted
343,9,43,4,1,72,1,19,5,5,28,addicted
344,4,37,0,2,65,2,16,9,6,25,addicted
345,3,23,1,0,46,0,49,1,3,28,not addicted
346,4,33,0,1,65,3,36,4,7,31,addicted
347,1,29,2,0,41,0,24,9,0,23,not addicted
348,3,30,0,0,35,1,32,3,1,31,not addicted
349,2,31,3,0,44,1,52,7,0,28,not addicted
350,6,18,2,1,46,2,51,7,1,25,not addicted
351,3,30,0,0,57,1,49,5,4,30,not addicted
352,5,37,2,0,71,1,30,6,4,37,addicted
353,2,24,3,0,45,0,24,3,6,24,not addicted
354,2,27,2,1,55,0,50,7,2,27,not addicted
355,2,21,1,2,43,2,29,5,5,31,not addicted
356,4,32,3,0,66,1,27,3,4,27,addicted
357,5,16,1,0,51,1,44,11,2,23,not addicted
358,2,22,2,2,52,0,39,6,6,26,not addicted
359,1,35,0,2,68,1,43,7,7,38,addicted
360,4,20,1,2,52,0,37,7,4,27,not addicted
361,4,20,0,0,52,0,29,6,2,20,not addicted
362,3,28,1,0,49,1,29,6,3,16,not addicted
363,5,26,3,2,43,0,49,5,6,22,not addicted
364,8,27,2,1,58,2,18,4,4,27,addicted
365,4,38,4,1,73,2,41,9,4,25,addicted
366,4,30,2,0,38,1,50,7,0,25,not addicted
367,6,45,1,1,75,3,39,4,3,35,addicted
368,7,29,2,3,63,1,16,4,7,45,addicted
369,5,36,1,3,64,0,17,2,3,23,addicted
370,5,46,1,1,76,1,24,8,8,20,addicted
371,2,21,2,1,48,1,53,6,1,19,not addicted
372,3,39,1,0,81,1,29,6,5,29,addicted
373,5,40,0,1,65,0,19,3,8,34,addicted
374,2,20,0,0,51,0,42,11,3,20,not addicted
375,4,21,0,0,64,0,44,8,4,24,not addicted
376,2,25,1,0,50,1,25,8,2,20,not addicted
377,0,23,1,0,50,0,42,6,3,32,not addicted
378,1,39,1,0,41,0,33,7,1,24,not addicted
379,2,17,2,0,31,1,22,9,3,30,not addicted
380,5,22,3,4,74,3,42,7,3,41,addicted
381,9,23,1,1,57,1,45,6,5,22,not addicted
382,3,27,2,1,37,1,33,8,3,24,not addicted
383,6,35,0,2,65,1,26,5,3,22,addicted
384,3,40,4,0,75,2,31,3,7,23,addicted
385,1,27,2,2,56,0,41,5,9,30,addicted
386,0,25,1,0,46,1,35,8,0,18,not addicted
387,7,18,1,0,42,0,31,8,2,23,not addicted
388,0,29,1,0,50,1,21,4,0,22,not addicted
389,9,29,2,0,63,1,40,4,4,27,addicted
390,6,31,1,2,70,3,26,9,7,33,addicted
391,5,31,3,2,57,0,16,9,5,35,addicted
392,6,34,0,1,71,2,28,9,3,35,addicted
393,3,27,1,1,35,1,41,5,1,22,not addicted
394,8,27,2,0,52,0,26,6,5,22,not addicted
395,4,24,2,2,64,2,28,8,4,35,addicted
396,4,32,1,2,66,2,38,4,6,36,addicted
397,4,28,2,0,61,0,39,4,2,26,not addicted
398,5,19,0,1,48,1,42,6,3,32,not addicted
399,3,26,1,0,43,0,38,7,2,32,not addicted
400,4,37,1,4,74,2,43,7,8,31,addicted
401,3,23,0,2,46,2,43,4,2,22,not addicted
402,5,28,2,1,67,1,31,4,8,26,addicted
403,5,29,1,1,75,1,29,5,7,29,addicted
404,3,14,0,1,50,2,19,7,6,27,not addicted
405,2,38,1,0,72,1,41,5,4,30,addicted
406,4,28,0,1,49,0,47,8,6,27,not addicted
407,6,45,2,2,71,2,20,2,5,37,addicted
408,7,31,2,1,80,0,40,7,3,33,addicted
409,8,32,4,0,67,0,39,3,5,35,addicted
410,3,31,1,1,73,2,25,6,7,36,addicted
411,0,23,1,1,56,0,54,7,2,27,not addicted
412,5,22,1,0,48,0,54,9,4,24,not addicted
413,4,20,1,1,53,1,30,11,4,28,not addicted
414,3,35,0,2,52,0,20,5,4,23,not addicted
415,0,31,0,1,51,0,43,7,0,24,not addicted
416,2,25,2,0,61,2,38,6,4,27,not addicted
417,4,32,2,1,75,1,44,6,6,32,addicted
418,4,31,1,0,77,0,42,7,3,27,addicted
419,2,29,2,0,53,1,52,9,5,18,not addicted
420,5,31,2,2,87,1,42,0,3,29,addicted
421,4,31,3,0,72,2,26,6,7,30,addicted
422,5,25,1,1,64,0,42,7,4,13,not addicted
423,1,38,0,2,65,2,15,7,5,20,addicted
424,3,27,4,5,66,2,37,4,3,35,addicted
425,1,28,0,0,56,0,33,9,2,25,not addicted
426,4,30,0,1,72,2,16,8,8,34,addicted
427,3,34,3,0,80,1,29,8,6,27,addicted
428,6,40,1,4,68,3,43,5,5,36,addicted
429,5,40,3,4,65,1,20,2,7,26,addicted
430,8,44,3,2,67,0,43,5,3,34,addicted
431,1,25,2,4,62,0,18,5,8,41,addicted
432,0,29,2,1,49,1,53,3,5,25,not addicted
433,2,42,1,1,62,1,31,7,7,36,addicted
434,7,27,2,2,59,0,36,2,6,27,addicted
435,5,35,1,0,65,0,32,5,4,18,addicted
436,6,41,0,0,57,2,24,6,7,18,addicted
437,7,41,6,0,62,1,25,4,3,28,addicted
438,0,36,0,0,54,0,39,4,5,22,not addicted
439,0,34,2,0,45,0,42,6,0,37,not addicted
440,4,22,0,0,48,0,51,8,1,24,not addicted
441,5,41,1,2,65,2,29,3,6,30,addicted
442,5,28,1,1,50,1,27,6,2,29,not addicted
443,3,34,1,0,61,1,29,7,9,40,addicted
444,7,23,3,1,53,1,38,6,4,22,not addicted
445,3,39,4,4,65,3,29,4,4,21,addicted
446,6,37,0,0,67,1,29,5,9,39,addicted
447,6,24,0,1,48,1,45,6,2,29,not addicted
448,8,32,2,2,67,2,43,3,8,25,addicted
449,2,26,2,1,32,1,48,7,7,24,not addicted
450,3,37,3,1,76,2,33,5,7,19,addicted
451,6,33,1,2,72,2,32,5,9,29,addicted
452,6,35,1,2,77,2,41,5,5,29,addicted
453,5,28,2,1,70,0,37,7,5,28,addicted
454,3,34,1,0,61,1,15,8,6,29,addicted
455,5,35,4,1,69,0,42,3,4,32,addicted
456,5,31,4,2,68,2,34,4,3,22,addicted
457,6,36,2,0,54,2,21,5,4,29,addicted
458,4,25,2,1,54,0,40,9,0,21,not addicted
459,7,32,0,4,66,0,42,8,7,33,addicted
460,2,29,1,2,47,0,48,5,3,25,not addicted
461,8,27,1,0,69,1,21,4,5,23,addicted
462,4,25,1,0,40,1,32,6,4,22,not addicted
463,4,24,2,2,40,0,34,6,5,23,not addicted
464,4,32,3,1,74,2,39,9,6,36,addicted
465,7,32,0,3,79,2,36,9,8,19,addicted
466,1,32,2,1,68,1,44,8,2,32,addicted
467,4,35,2,2,67,2,15,6,3,30,addicted
468,4,31,3,1,65,1,32,6,6,29,addicted
469,4,19,1,2,52,1,41,4,1,26,not addicted
470,1,35,1,1,70,0,19,5,2,30,addicted
471,5,27,1,2,52,1,36,5,4,28,not addicted
472,2,26,2,0,51,0,35,6,3,22,not addicted
473,4,18,1,1,52,0,37,7,3,26,not addicted
474,4,28,0,1,50,0,35,4,1,27,not addicted
475,7,34,3,0,95,0,38,10,7,26,addicted
476,4,22,2,1,48,0,47,6,4,25,not addicted
477,0,38,2,0,62,1,15,3,6,23,addicted
478,7,42,2,2,62,1,41,7,2,21,addicted
479,2,24,2,1,47,1,32,4,5,31,not addicted
480,4,32,3,1,74,1,38,3,4,35,addicted
481,2,23,1,0,53,1,43,5,5,21,not addicted
482,3,26,0,1,48,2,45,4,4,30,not addicted
483,3,22,0,0,51,1,51,2,0,26,not addicted
484,2,31,0,0,31,0,27,4,0,24,not addicted
485,2,21,1,0,48,2,52,5,2,25,not addicted
486,2,31,4,1,63,1,16,7,8,33,addicted
487,1,28,3,2,75,1,39,4,7,29,addicted
488,1,35,3,1,47,0,24,5,1,26,not addicted
489,3,40,3,1,81,2,26,6,3,23,addicted
490,5,36,1,1,82,2,18,7,8,16,addicted
491,2,17,1,0,43,0,28,7,3,26,not addicted
492,2,20,2,0,58,1,24,5,5,21,not addicted
493,2,42,0,2,85,0,22,4,5,24,addicted
494,2,29,2,0,58,0,49,8,6,19,not addicted
495,1,27,1,1,47,1,22,7,4,24,not addicted
496,2,21,0,0,53,1,38,8,6,17,not addicted
497,3,25,0,0,59,2,27,8,5,19,not addicted
498,3,34,3,3,65,1,39,8,7,30,addicted
499,3,31,3,1,73,3,39,4,3,30,addicted
500,2,25,1,0,45,0,38,9,4,24,not addicted
501,6,31,1,0,66,3,40,6,5,24,addicted
502,3,31,1,0,58,2,44,7,3,24,addicted
503,5,35,3,0,72,1,32,5,4,31,addicted
504,7,48,2,0,62,0,18,6,3,25,addicted
505,5,33,0,3,54,2,33,8,8,30,addicted
506,5,29,0,0,72,0,23,4,4,26,addicted
507,3,38,0,0,82,3,34,8,8,33,addicted
508,4,36,2,3,68,1,19,3,3,26,addicted
509,3,24,0,3,45,0,42,7,4,25,not addicted
510,2,23,2,0,51,1,20,9,1,18,not addicted
511,5,27,0,0,73,0,33,7,8,34,addicted
512,2,27,1,0,69,2,24,3,3,29,addicted
513,7,38,3,2,63,0,20,7,6,38,addicted
514,4,25,0,1,55,2,24,8,3,25,not addicted
515,0,24,0,1,44,1,53,7,2,20,not addicted
516,6,22,2,0,57,0,50,12,2,24,not addicted
517,3,34,3,1,70,1,34,7,4,28,addicted
518,3,15,1,1,60,0,22,8,1,25,not addicted
519,2,21,0,2,39,1,19,8,3,22,not addicted
520,4,19,1,1,43,0,27,5,0,21,not addicted
521,0,28,1,1,52,0,42,2,2,19,not addicted
522,4,35,3,1,63,0,34,5,5,26,addicted
523,4,30,4,2,72,3,35,5,4,30,addicted
